date,under_20,20_39,40_49,50_59,60_69,70,health_authority,new_cases,males,females,nl_cases,nl_hosp,nl_icu,nl_death,nl_tests,population
2022-02-02,,,,,,,labradorgrenfell_ha,,0,0,248,20,9,3,865,36069
2022-02-01,,,,,,,labradorgrenfell_ha,,0,0,179,25,11,0,1460,36069
2022-01-31,,,,,,,labradorgrenfell_ha,,0,0,183,22,9,2,900,36069
2022-01-30,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2022-01-29,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2022-01-28,,,,,,,labradorgrenfell_ha,,0,0,265,20,8,0,1759,36069
2022-01-27,,,,,,,labradorgrenfell_ha,,0,0,378,20,7,4,2091,36069
2022-01-26,,,,,,,labradorgrenfell_ha,,0,0,304,20,7,3,2017,36069
2022-01-25,,,,,,,labradorgrenfell_ha,,0,0,296,20,5,0,1756,36069
2022-01-24,,,,,,,labradorgrenfell_ha,,0,0,349,21,5,1,2015,36069
2022-01-23,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2022-01-22,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2022-01-21,,,,,,,labradorgrenfell_ha,,0,0,324,18,1,0,1516,36069
2022-01-20,,,,,,,labradorgrenfell_ha,,0,0,360,20,4,2,1462,36069
2022-01-19,,,,,,,labradorgrenfell_ha,,0,0,511,18,4,0,2449,36069
2022-01-18,,,,,,,labradorgrenfell_ha,,0,0,295,14,3,2,1426,36069
2022-01-17,0.0,1.0,0.0,0.0,0.0,0.0,labradorgrenfell_ha,1.0,1,0,239,15,3,0,0,36069
2022-01-16,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2022-01-15,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2022-01-14,13.0,21.0,5.0,10.0,0.0,2.0,labradorgrenfell_ha,51.0,26,25,475,8,3,1,0,36069
2022-01-13,8.0,26.0,9.0,4.0,3.0,2.0,labradorgrenfell_ha,52.0,26,26,686,8,3,0,0,36069
2022-01-12,16.0,33.0,15.0,12.0,2.0,7.0,labradorgrenfell_ha,85.0,49,35,731,7,3,0,0,36069
2022-01-11,19.0,20.0,9.0,9.0,9.0,4.0,labradorgrenfell_ha,70.0,31,39,750,7,3,0,0,36069
2022-01-10,11.0,21.0,11.0,14.0,2.0,5.0,labradorgrenfell_ha,64.0,37,27,1135,4,2,0,0,36069
2022-01-09,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2022-01-08,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2022-01-07,14.0,35.0,14.0,17.0,3.0,2.0,labradorgrenfell_ha,85.0,50,35,480,4,0,1,0,36069
2022-01-06,9.0,22.0,7.0,15.0,2.0,4.0,labradorgrenfell_ha,59.0,28,31,503,4,0,0,0,36069
2022-01-05,35.0,22.0,8.0,18.0,7.0,7.0,labradorgrenfell_ha,97.0,50,47,479,3,0,0,0,36069
2022-01-04,27.0,49.0,16.0,19.0,6.0,8.0,labradorgrenfell_ha,125.0,57,68,493,1,0,0,0,36069
2022-01-03,35.0,38.0,20.0,18.0,9.0,5.0,labradorgrenfell_ha,125.0,66,59,519,1,0,0,0,36069
2022-01-02,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2022-01-01,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2021-12-31,19.0,41.0,14.0,14.0,3.0,1.0,labradorgrenfell_ha,92.0,45,47,431,1,0,1,0,36069
2021-12-30,17.0,23.0,10.0,12.0,4.0,0.0,labradorgrenfell_ha,66.0,38,28,349,1,0,0,0,36069
2021-12-29,0.0,12.0,1.0,1.0,2.0,0.0,labradorgrenfell_ha,16.0,5,11,312,0,0,0,0,36069
2021-12-28,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2021-12-27,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2021-12-26,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2021-12-25,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2021-12-24,0.0,3.0,1.0,0.0,0.0,0.0,labradorgrenfell_ha,4.0,2,2,85,1,0,0,0,36069
2021-12-23,0.0,0.0,0.0,1.0,0.0,0.0,labradorgrenfell_ha,1.0,0,1,100,0,0,0,0,36069
2021-12-22,0.0,0.0,0.0,0.0,0.0,0.0,labradorgrenfell_ha,0.0,0,1,60,0,0,0,0,36069
2021-12-21,0.0,0.0,0.0,0.0,0.0,0.0,labradorgrenfell_ha,0.0,0,0,27,0,0,0,0,36069
2021-12-20,0.0,0.0,0.0,0.0,0.0,0.0,labradorgrenfell_ha,0.0,0,0,27,0,0,0,0,36069
2021-12-19,0.0,1.0,0.0,0.0,0.0,0.0,labradorgrenfell_ha,13.0,1,0,38,0,0,0,0,36069
2021-12-18,0.0,0.0,0.0,0.0,0.0,0.0,labradorgrenfell_ha,,0,0,20,0,0,0,0,36069
2021-12-17,0.0,0.0,0.0,0.0,0.0,0.0,labradorgrenfell_ha,0.0,0,0,46,0,0,0,0,36069
2021-12-16,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2021-12-15,0.0,0.0,0.0,0.0,0.0,0.0,labradorgrenfell_ha,0.0,0,0,13,0,0,0,0,36069
2021-12-14,,,,,,,labradorgrenfell_ha,,0,0,0,0,0,0,0,36069
2021-12-13,0.0,0.0,0.0,0.0,0.0,0.0,labradorgrenfell_ha,0.0,0,0,0,0,0,0,0,36069
